Year,mean_temp,co2_em
1961,18.041666666666668,3777.01
1962,17.416666666666664,3080.28
1963,17.083333333333336,3960.36
1964,17.46666666666667,4422.402
1965,17.041666666666668,4261.054
1966,17.258333333333333,5467.497
1967,16.941666666666666,5416.159
1968,17.141666666666662,5628.845
1969,17.01666666666667,5826.863
1970,17.325000000000003,7293.663
1971,16.366666666666667,8203.079
1972,16.366666666666667,8049.065
1973,17.008333333333333,9640.543
1974,16.924999999999997,11136.679
1975,16.883333333333336,11111.01
1976,16.750000000000004,11547.383
1977,17.058333333333334,12702.488
1978,17.35,13076.522
1979,17.249999999999996,15958.784
1980,17.39166666666667,15944.116
1981,17.59166666666667,15856.108
1982,17.308333333333334,17058.884
1983,17.775000000000002,17795.951
1984,17.158333333333335,17814.286
1985,17.691666666666666,17865.624
1986,17.133333333333336,18881.383
1987,17.966666666666665,20117.162
1988,17.525,21176.925
1989,17.966666666666665,22918.75
1990,17.916666666666668,21730.0
1991,17.05,23450.0
1992,17.150000000000002,25260.0
1993,16.875,25980.0
1994,17.73333333333333,28130.0
1995,18.316666666666663,29200.0
1996,17.599999999999998,28890.0
1997,18.208333333333336,30330.0
1998,17.966666666666665,31050.0
1999,17.666666666666664,32600.0
2000,17.916666666666664,33290.0
2001,18.4,36920.0
2002,18.08333333333333,38270.0
2003,18.183333333333334,38210.0
2004,17.900000000000002,42170.0
2005,17.966666666666665,44490.0
2006,18.23333333333333,46190.0
2007,17.891666666666666,47730.0
2008,17.849999999999998,50180.0
2009,18.4,50540.0
2010,18.65833333333333,53660.0
2011,18.258333333333333,57790.0
2012,18.166666666666668,60150.0
2013,17.999999999999996,59720.0
2014,18.383333333333336,61160.0
2015,18.48333333333333,63150.0
2016,18.641666666666666,63080.0
2017,18.83333333333333,65930.0
2018,17.575,66680.0
